slug,file_title,author_or_source,license,commons_page_url
fuenlabrada,File:Fuenlabrada - Centro Comercial Plaza de la Estación 01.jpg,Zarateman,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Fuenlabrada_-_Centro_Comercial_Plaza_de_la_Estación_01.jpg
lanzarote-arrecife,File:Arrecife. Lanzarote-31.jpg,Luis Miguel Bugallo Sánchez (Lmbuga),CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Arrecife._Lanzarote-31.jpg
avila,"File:Avellaneda, Ávila 02.jpg",19Tarrestnom65,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Avellaneda,_Ávila_02.jpg"
sant-cugat-del-valles,"File:08 Can Móra, Club de Golf Sant Cugat (Sant Cugat del Vallès), rellotge de sol.jpg",Enric,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:08_Can_Móra,_Club_de_Golf_Sant_Cugat_(Sant_Cugat_del_Vallès),_rellotge_de_sol.jpg"
collado-villalba,File:Collado Villalba 01.JPG,Zarateman,CC0,https://commons.wikimedia.org/wiki/File:Collado_Villalba_01.JPG
nerja,File:City of Nerja.jpg,Olga1969,CC BY 4.0,https://commons.wikimedia.org/wiki/File:City_of_Nerja.jpg
soria,"File:Iglesia de San Juan Bautista, Ágreda, Soria, España, 2018-03-29, DD 40-42 HDR.jpg",Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Iglesia_de_San_Juan_Bautista,_Ágreda,_Soria,_España,_2018-03-29,_DD_40-42_HDR.jpg"
motril,File:Motril 1.jpg,kallerna,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Motril_1.jpg
ciudad-real,"File:Puerta de Toledo, Ciudad Real, España, 2021-12-18, DD 01.jpg",Diego Delso,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Puerta_de_Toledo,_Ciudad_Real,_España,_2021-12-18,_DD_01.jpg"
aranda-de-duero,"File:"" Photography by David Adam Kess Bodega El Lagar, Aranda de Duero, España.jpg",David Adam Kess,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:""_Photography_by_David_Adam_Kess_Bodega_El_Lagar,_Aranda_de_Duero,_España.jpg"
lorca,File:Lorca Ayuntamiento de Lorca from the eastern end of Plaza de España.jpg,Ymblanter,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Lorca_Ayuntamiento_de_Lorca_from_the_eastern_end_of_Plaza_de_España.jpg
